state_abbr,state_fips,county_name,is_metro,county_code,pop2023,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
TN,47,Robertson,1,147,73297,1507.00,1578.00,1730.00,2211.00,2696.00
TX,48,Robertson,1,395,16912,1025.00,1082.00,1186.00,1649.00,1928.00
NC,37,Robeson,0,155,117573,744.00,748.00,925.00,1187.00,1389.00
MN,27,Rock,1,133,9659,727.00,742.00,973.00,1353.00,1357.00
NE,31,Rock,0,149,1312,666.00,732.00,961.00,1187.00,1284.00
WI,55,Rock,1,105,163817,900.00,955.00,1246.00,1596.00,1650.00
IL,17,Rock Island,1,161,143819,817.00,928.00,1143.00,1498.00,1819.00
VA,51,Rockbridge,0,163,22673,870.00,917.00,1005.00,1398.00,1686.00
KY,21,Rockcastle,0,203,16171,619.00,741.00,866.00,1126.00,1209.00
GA,13,Rockdale,1,247,93641,1585.00,1660.00,1820.00,2182.00,2605.00
NH,33,Rockingham,1,015,7222,1565.00,1730.00,2270.00,2722.00,3006.00
NC,37,Rockingham,1,157,91209,717.00,793.00,1040.00,1286.00,1463.00
VA,51,Rockingham,1,165,83905,1050.00,1057.00,1322.00,1801.00,2125.00
NY,36,Rockland,1,087,337326,2529.00,2655.00,2910.00,3644.00,3959.00
TX,48,Rockwall,1,397,110631,1582.00,1648.00,1931.00,2431.00,3091.00
OK,40,Roger Mills,0,129,3423,705.00,732.00,937.00,1166.00,1343.00
OK,40,Rogers,1,131,95870,933.00,987.00,1217.00,1602.00,1858.00
ND,38,Rolette,0,079,12292,722.00,727.00,954.00,1318.00,1600.00
KS,20,Rooks,0,163,4925,643.00,668.00,877.00,1052.00,1276.00
MT,30,Roosevelt,0,085,10799,909.00,915.00,1201.00,1440.00,1942.00
NM,35,Roosevelt,0,041,19142,725.00,772.00,975.00,1356.00,1636.00
MI,26,Roscommon,0,143,23556,689.00,742.00,973.00,1242.00,1632.00
MN,27,Roseau,0,135,15294,671.00,867.00,973.00,1256.00,1450.00
MT,30,Rosebud,0,087,8310,889.00,993.00,1186.00,1649.00,1990.00
OH,39,Ross,0,141,76957,785.00,882.00,1057.00,1335.00,1399.00
CO,08,Routt,0,107,24944,1726.00,1845.00,2022.00,2424.00,3170.00
KY,21,Rowan,0,205,24551,628.00,735.00,911.00,1156.00,1528.00
NC,37,Rowan,1,159,147067,952.00,958.00,1196.00,1573.00,2006.00
TX,48,Runnels,0,399,9858,809.00,815.00,1069.00,1282.00,1573.00
IN,18,Rush,0,139,16716,685.00,762.00,956.00,1146.00,1266.00
KS,20,Rush,0,165,2939,643.00,710.00,877.00,1220.00,1302.00
