state,state_abbr,state_fips,county_code,msa_code,county_name,adult_1_children_0,adult_1_children_1,adult_1_children_2,adult_1_children_3,adults_2_children_0,adults_2_children_1,adults_2_children_3
California,CA,06,107,47300,Tulare,4066,5965,8937,11894,7454,9251,11900
California,CA,06,109,0600006,Tuolumne,4942,7250,10863,14458,9061,11245,14464
California,CA,06,111,37100,Ventura,4627,6787,10170,13535,8483,10527,13541
California,CA,06,113,40900,Yolo,4615,6770,10144,13501,8461,10501,13507
California,CA,06,115,49700,Yuba,4019,5896,8834,11758,7369,9145,11763
Colorado,CO,08,001,19740,Adams,4288,6290,9425,12544,7861,9756,12549
Colorado,CO,08,003,0800001,Alamosa,4942,7250,10863,14458,9061,11245,14464
Colorado,CO,08,005,19740,Arapahoe,4557,6685,10015,13330,8354,10368,13336
Colorado,CO,08,007,0800002,Archuleta,5211,7644,11454,15244,9554,11857,15251
Colorado,CO,08,009,0800001,Baca,3622,5313,7961,10596,6640,8241,10600
Colorado,CO,08,011,0800001,Bent,4113,6033,9040,12031,7540,9358,12036
Colorado,CO,08,013,14500,Boulder,5199,7627,11428,15210,9532,11830,15216
Colorado,CO,08,014,19740,Broomfield,4896,7182,10760,14321,8975,11139,14327
Colorado,CO,08,015,0800002,Chaffee,4335,6359,9528,12680,7947,9863,12686
Colorado,CO,08,017,0800001,Cheyenne,3669,5382,8064,10732,6726,8347,10737
Colorado,CO,08,019,19740,Clear Creek,4896,7182,10760,14321,8975,11139,14327
Colorado,CO,08,021,0800001,Conejos,4802,7044,10555,14048,8804,10926,14054
Colorado,CO,08,023,0800001,Costilla,4802,7044,10555,14048,8804,10926,14054
Colorado,CO,08,025,0800001,Crowley,4159,6102,9142,12168,7626,9464,12173
Colorado,CO,08,027,0800001,Custer,4218,6187,9271,12339,7733,9597,12344
Colorado,CO,08,029,0800002,Delta,4276,6273,9399,12510,7840,9730,12515
Colorado,CO,08,031,19740,Denver,4779,7010,10503,13979,8761,10873,13985
Colorado,CO,08,033,0800002,Dolores,4346,6376,9553,12715,7968,9889,12720
Colorado,CO,08,035,19740,Douglas,4907,7199,10786,14355,8997,11165,14362
Colorado,CO,08,037,0800003,Eagle,5234,7679,11505,15312,9596,11910,15319
Colorado,CO,08,039,19740,Elbert,4475,6565,9836,13091,8204,10182,13096
Colorado,CO,08,041,17820,El Paso,4417,6479,9707,12920,8097,10049,12925
Colorado,CO,08,043,0800002,Fremont,4218,6187,9271,12339,7733,9597,12344
Colorado,CO,08,045,0800003,Garfield,4615,6770,10144,13501,8461,10501,13507
Colorado,CO,08,047,19740,Gilpin,4767,6993,10478,13945,8740,10846,13951
