state,state_abbr,county_name,state_fips,county_code,county_lowest_cost,state_average_cost
Georgia,GA,Meriwether,13,191,69.99,88.35
Georgia,GA,Miller,13,199,62.48,88.35
Georgia,GA,Mitchell,13,201,66.65,88.35
Georgia,GA,Monroe,13,205,67.19,88.35
Georgia,GA,Montgomery,13,207,114.63,88.35
Georgia,GA,Morgan,13,209,60.00,88.35
Georgia,GA,Murray,13,211,69.99,88.35
Georgia,GA,Muscogee,13,213,89.97,88.35
Georgia,GA,Newton,13,215,62.99,88.35
Georgia,GA,Oconee,13,217,67.50,88.35
Georgia,GA,Oglethorpe,13,219,55.22,88.35
Georgia,GA,Paulding,13,221,60.82,88.35
Georgia,GA,Peach,13,223,68.66,88.35
Georgia,GA,Pickens,13,225,68.98,88.35
Georgia,GA,Pierce,13,227,55.00,88.35
Georgia,GA,Pike,13,229,67.50,88.35
Georgia,GA,Polk,13,231,67.50,88.35
Georgia,GA,Pulaski,13,233,59.99,88.35
Georgia,GA,Putnam,13,235,59.28,88.35
Georgia,GA,Quitman,13,237,65.00,88.35
Georgia,GA,Rabun,13,239,79.99,88.35
Georgia,GA,Randolph,13,241,79.99,88.35
Georgia,GA,Richmond,13,243,66.66,88.35
Georgia,GA,Rockdale,13,245,62.99,88.35
Georgia,GA,Schley,13,247,70.00,88.35
Georgia,GA,Screven,13,249,79.99,88.35
Georgia,GA,Seminole,13,251,59.99,88.35
Georgia,GA,Spalding,13,253,67.50,88.35
Georgia,GA,Stephens,13,255,79.97,88.35
Georgia,GA,Stewart,13,257,70.00,88.35
Georgia,GA,Sumter,13,259,66.00,88.35
Georgia,GA,Talbot,13,261,90.47,88.35
Georgia,GA,Taliaferro,13,263,45.95,88.35
Georgia,GA,Tattnall,13,265,56.99,88.35
Georgia,GA,Taylor,13,267,203.89,88.35
Georgia,GA,Telfair,13,269,114.63,88.35
Georgia,GA,Terrell,13,271,60.00,88.35
Georgia,GA,Thomas,13,273,61.98,88.35
Georgia,GA,Tift,13,275,83.46,88.35
Georgia,GA,Toombs,13,277,96.30,88.35
Georgia,GA,Towns,13,279,61.47,88.35
Georgia,GA,Treutlen,13,281,141.94,88.35
Georgia,GA,Troup,13,283,62.99,88.35
Georgia,GA,Turner,13,285,114.63,88.35
Georgia,GA,Twiggs,13,287,93.71,88.35
Georgia,GA,Union,13,289,64.72,88.35
Georgia,GA,Upson,13,291,65.00,88.35
Georgia,GA,Walker,13,293,63.48,88.35
Georgia,GA,Walton,13,295,73.99,88.35
Georgia,GA,Ware,13,297,77.69,88.35
Georgia,GA,Warren,13,299,,88.35
Georgia,GA,Washington,13,301,65.00,88.35
Georgia,GA,Wayne,13,303,69.99,88.35
Georgia,GA,Webster,13,305,60.00,88.35
Georgia,GA,Wheeler,13,307,73.31,88.35
