region_id,metro_name,state_fips,state_abbr,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,8/31/2025,9/30/2025,10/31/2025,11/30/2025,12/31/2025,1/31/2026,2/28/2026,3/31/2026
394952,Oxnard,06,CA,3744.40,3735.94,3749.66,3760.16,3795.19,3799.23,3796.54,3792.23,3779.02,3803.94,3839.62,3848.15,3883.36,3908.89,3972.65,3955.34,3951.01,3969.19,3976.57,3975.43,3955.19,3947.58,3927.49,3916.46,3955.10,3978.37,3992.73
394486,Columbia,45,SC,1642.27,1640.43,1645.53,1663.87,1680.11,1689.31,1689.70,1691.88,1696.33,1696.89,1704.91,1710.88,1720.70,1731.59,1745.96,1764.59,1774.98,1778.88,1775.00,1772.29,1782.21,1791.88,1801.27,1797.27,1801.34,1811.38,1817.48
753906,North Port,12,FL,2585.46,2600.80,2598.90,2590.63,2597.55,2596.33,2601.01,2604.88,2603.19,2618.05,2638.74,2661.38,2658.02,2649.46,2633.88,2627.92,2615.03,2605.91,2618.88,2618.53,2632.18,2619.16,2631.78,2622.76,2627.29,2604.90,2601.82
845158,Dayton,39,OH,1292.80,1298.75,1313.09,1319.27,1329.95,1329.68,1339.04,1338.12,1345.73,1342.73,1340.57,1337.35,1343.11,1351.06,1359.72,1369.62,1377.63,1385.54,1392.20,1401.36,1403.79,1396.14,1396.25,1393.59,1397.66,1399.35,1408.94
394457,Charleston,45,SC,2254.03,2272.22,2276.84,2293.68,2309.63,2324.34,2328.62,2334.09,2341.85,2345.94,2351.18,2344.80,2353.53,2358.35,2378.33,2401.05,2424.27,2432.72,2436.46,2432.92,2434.09,2439.23,2437.29,2449.66,2463.42,2488.32,2498.68
394648,Greensboro,37,NC,1687.24,1694.65,1709.48,1726.79,1742.50,1755.87,1762.96,1761.86,1761.37,1762.50,1769.64,1767.99,1771.81,1784.31,1793.27,1806.78,1812.39,1828.97,1840.88,1839.99,1838.49,1828.49,1831.59,1829.76,1825.40,1837.35,1847.05
395134,Stockton,06,CA,2640.16,2653.72,2674.25,2688.69,2695.69,2708.11,2717.09,2724.73,2720.75,2713.78,2715.21,2724.09,2736.94,2756.83,2757.20,2781.06,2771.98,2795.59,2778.57,2790.24,2765.12,2768.62,2771.20,2790.70,2795.01,2785.48,2791.25
394440,Cape Coral,12,FL,2327.04,2332.15,2317.27,2301.82,2301.47,2297.72,2296.07,2289.23,2291.26,2294.14,2290.68,2283.22,2270.64,2269.01,2276.21,2277.53,2264.81,2251.43,2251.35,2247.68,2233.08,2213.68,2202.65,2208.85,2202.84,2207.78,2209.11
394399,Boise City,16,ID,2022.76,2043.39,2072.13,2093.82,2115.18,2128.57,2134.77,2132.89,2127.47,2120.65,2113.75,2102.64,2108.86,2110.41,2130.22,2145.23,2169.48,2185.08,2198.71,2198.75,2189.32,2180.90,2170.71,2171.54,2174.25,2201.89,2226.89
394484,Colorado Springs,08,CO,2157.46,2173.75,2193.55,2207.86,2223.36,2230.12,2232.40,2227.74,2222.18,2217.81,2213.46,2214.54,2225.78,2239.74,2255.54,2271.92,2290.07,2304.94,2301.16,2294.93,2287.03,2276.78,2267.86,2248.96,2261.37,2275.89,2299.31
