state,state_abbr,state_fips,provider_name,alternative_provider_name,line_count,monthly_cost,cost_per_line,alternative_monthly_cost,alternative_cost_per_line
New Jersey,NJ,34,AT&T,Cricket,5,200,40,120,24
New Mexico,NM,35,Verizon,Visible,5,145,29,125,25
New York,NY,36,AT&T,Cricket,5,200,40,120,24
North Carolina,NC,37,AT&T,Cricket,5,200,40,120,24
North Dakota,ND,38,Verizon,Visible,5,145,29,125,25
Ohio,OH,39,Verizon,Visible,5,145,29,125,25
Oklahoma,OK,40,Verizon,Visible,5,145,29,125,25
Oregon,OR,41,T-Mobile,Mint Mobile,5,625,125,150,30
Pennsylvania,PA,42,AT&T,Cricket,5,200,40,120,24
Rhode Island,RI,44,AT&T,Cricket,5,200,40,120,24
South Carolina,SC,45,Verizon,Visible,5,145,29,125,25
South Dakota,SD,46,Verizon,Visible,5,145,29,125,25
Tennessee,TN,47,AT&T,Cricket,5,200,40,120,24
Texas,TX,48,AT&T,Cricket,5,200,40,120,24
Utah,UT,49,T-Mobile,Mint Mobile,5,625,125,150,30
Vermont,VT,50,Verizon,Visible,5,145,29,125,25
Virginia,VA,51,AT&T,Cricket,5,200,40,120,24
Washington,WA,53,T-Mobile,Mint Mobile,5,625,125,150,30
West Virginia,WV,54,Verizon,Visible,5,145,29,125,25
Wisconsin,WI,55,Verizon,Visible,5,145,29,125,25
Wyoming,WY,56,Verizon,Visible,5,145,29,125,25
